      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 02:25:00     -164.772461*       0.2250
FIRE:    1 02:25:00     -164.773697*       0.2232
FIRE:    2 02:25:00     -164.776108*       0.2196
FIRE:    3 02:25:00     -164.779617*       0.2141
FIRE:    4 02:25:00     -164.784088*       0.2064
FIRE:    5 02:25:00     -164.789322*       0.1963
FIRE:    6 02:25:00     -164.795105*       0.1837
FIRE:    7 02:25:00     -164.801193*       0.1687
FIRE:    8 02:25:00     -164.807968*       0.1501
FIRE:    9 02:25:00     -164.815109*       0.1289
FIRE:   10 02:25:00     -164.822281*       0.1070
FIRE:   11 02:25:00     -164.829086*       0.0863
FIRE:   12 02:25:00     -164.835297*       0.0670
FIRE:   13 02:25:00     -164.840485*       0.0498
FIRE:   14 02:25:00     -164.844376*       0.0393
FIRE:   15 02:25:00     -164.847092*       0.0362
FIRE:   16 02:25:01     -164.848846*       0.0351
FIRE:   17 02:25:01     -164.849823*       0.0306
FIRE:   18 02:25:01     -164.850052*       0.0234
FIRE:   19 02:25:01     -164.850082*       0.0234
FIRE:   20 02:25:01     -164.850174*       0.0233
FIRE:   21 02:25:01     -164.850327*       0.0232
FIRE:   22 02:25:01     -164.850479*       0.0230
FIRE:   23 02:25:01     -164.850662*       0.0228
FIRE:   24 02:25:01     -164.850891*       0.0226
FIRE:   25 02:25:01     -164.851135*       0.0224
FIRE:   26 02:25:01     -164.851410*       0.0220
FIRE:   27 02:25:01     -164.851761*       0.0216
FIRE:   28 02:25:01     -164.852112*       0.0211
FIRE:   29 02:25:01     -164.852524*       0.0205
FIRE:   30 02:25:01     -164.852982*       0.0197
FIRE:   31 02:25:01     -164.853424*       0.0187
FIRE:   32 02:25:01     -164.853912*       0.0173
FIRE:   33 02:25:01     -164.854355*       0.0156
FIRE:   34 02:25:01     -164.854858*       0.0134
FIRE:   35 02:25:01     -164.855347*       0.0127
FIRE:   36 02:25:01     -164.855804*       0.0124
FIRE:   37 02:25:01     -164.856277*       0.0104
FIRE:   38 02:25:01     -164.856613*       0.0087
FIRE:   39 02:25:01     -164.856873*       0.0106
FIRE:   40 02:25:01     -164.857117*       0.0115
FIRE:   41 02:25:01     -164.857361*       0.0111
FIRE:   42 02:25:02     -164.857605*       0.0090
FIRE:   43 02:25:02     -164.857834*       0.0060
FIRE:   44 02:25:02     -164.857971*       0.0040
FIRE:   45 02:25:02     -164.857986*       0.0039
FIRE:   46 02:25:02     -164.858032*       0.0037
FIRE:   47 02:25:02     -164.858109*       0.0033
FIRE:   48 02:25:02     -164.858170*       0.0029
FIRE:   49 02:25:02     -164.858215*       0.0025
FIRE:   50 02:25:02     -164.858292*       0.0025
FIRE:   51 02:25:02     -164.858322*       0.0024
FIRE:   52 02:25:02     -164.858383*       0.0024
FIRE:   53 02:25:02     -164.858429*       0.0023
FIRE:   54 02:25:02     -164.858475*       0.0022
FIRE:   55 02:25:02     -164.858521*       0.0021
FIRE:   56 02:25:02     -164.858551*       0.0019
FIRE:   57 02:25:02     -164.858582*       0.0019
FIRE:   58 02:25:02     -164.858612*       0.0019
FIRE:   59 02:25:02     -164.858627*       0.0019
FIRE:   60 02:25:02     -164.858643*       0.0018
FIRE:   61 02:25:02     -164.858627*       0.0018
FIRE:   62 02:25:02     -164.858643*       0.0017
FIRE:   63 02:25:02     -164.858658*       0.0016
FIRE:   64 02:25:02     -164.858688*       0.0016
FIRE:   65 02:25:02     -164.858688*       0.0015
FIRE:   66 02:25:02     -164.858719*       0.0015
FIRE:   67 02:25:02     -164.858719*       0.0014
FIRE:   68 02:25:03     -164.858719*       0.0014
FIRE:   69 02:25:03     -164.858734*       0.0013
FIRE:   70 02:25:03     -164.858749*       0.0013
FIRE:   71 02:25:03     -164.858780*       0.0012
FIRE:   72 02:25:03     -164.858795*       0.0010
FIRE:   73 02:25:03     -164.858795*       0.0008
FIRE:   74 02:25:03     -164.858810*       0.0007
FIRE:   75 02:25:03     -164.858810*       0.0006
FIRE:   76 02:25:03     -164.858826*       0.0006
FIRE:   77 02:25:03     -164.858826*       0.0006
FIRE:   78 02:25:03     -164.858841*       0.0006
FIRE:   79 02:25:03     -164.858841*       0.0007
FIRE:   80 02:25:03     -164.858856*       0.0008
FIRE:   81 02:25:03     -164.858856*       0.0009
FIRE:   82 02:25:03     -164.858856*       0.0011
FIRE:   83 02:25:03     -164.858902*       0.0014
FIRE:   84 02:25:03     -164.858932*       0.0019
FIRE:   85 02:25:03     -164.859009*       0.0026
FIRE:   86 02:25:03     -164.859116*       0.0035
FIRE:   87 02:25:03     -164.859299*       0.0046
FIRE:   88 02:25:03     -164.859573*       0.0053
FIRE:   89 02:25:03     -164.859970*       0.0050
FIRE:   90 02:25:03     -164.860382*       0.0041
FIRE:   91 02:25:03     -164.860764*       0.0043
FIRE:   92 02:25:03     -164.861206*       0.0049
FIRE:   93 02:25:03     -164.861801*       0.0060
FIRE:   94 02:25:04     -164.862564*       0.0075
FIRE:   95 02:25:04     -164.863403*       0.0085
FIRE:   96 02:25:04     -164.864258*       0.0093
FIRE:   97 02:25:04     -164.865067*       0.0098
FIRE:   98 02:25:04     -164.865646*       0.0058
FIRE:   99 02:25:04     -164.865936*       0.0076
FIRE:  100 02:25:04     -164.866043*       0.0065
