      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 02:43:27     -164.782333*       0.2140
FIRE:    1 02:43:27     -164.783554*       0.2122
FIRE:    2 02:43:27     -164.785904*       0.2086
FIRE:    3 02:43:27     -164.789322*       0.2030
FIRE:    4 02:43:27     -164.793640*       0.1954
FIRE:    5 02:43:27     -164.798660*       0.1857
FIRE:    6 02:43:27     -164.804199*       0.1737
FIRE:    7 02:43:27     -164.809982*       0.1600
FIRE:    8 02:43:27     -164.816406*       0.1433
FIRE:    9 02:43:27     -164.823196*       0.1245
FIRE:   10 02:43:27     -164.830048*       0.1048
FIRE:   11 02:43:27     -164.836609*       0.0852
FIRE:   12 02:43:27     -164.842514*       0.0661
FIRE:   13 02:43:27     -164.847427*       0.0488
FIRE:   14 02:43:27     -164.851166*       0.0366
FIRE:   15 02:43:27     -164.853851*       0.0335
FIRE:   16 02:43:27     -164.855667*       0.0280
FIRE:   17 02:43:27     -164.856537*       0.0272
FIRE:   18 02:43:27     -164.856567*       0.0229
FIRE:   19 02:43:27     -164.856613*       0.0227
FIRE:   20 02:43:27     -164.856750*       0.0221
FIRE:   21 02:43:27     -164.856857*       0.0214
FIRE:   22 02:43:27     -164.857071*       0.0203
FIRE:   23 02:43:27     -164.857300*       0.0197
FIRE:   24 02:43:27     -164.857529*       0.0196
FIRE:   25 02:43:28     -164.857819*       0.0194
FIRE:   26 02:43:28     -164.858139*       0.0192
FIRE:   27 02:43:28     -164.858521*       0.0190
FIRE:   28 02:43:28     -164.858932*       0.0186
FIRE:   29 02:43:28     -164.859360*       0.0181
FIRE:   30 02:43:28     -164.859833*       0.0174
FIRE:   31 02:43:28     -164.860291*       0.0165
FIRE:   32 02:43:28     -164.860779*       0.0154
FIRE:   33 02:43:28     -164.861191*       0.0138
FIRE:   34 02:43:28     -164.861618*       0.0119
FIRE:   35 02:43:28     -164.862045*       0.0125
FIRE:   36 02:43:28     -164.862411*       0.0127
FIRE:   37 02:43:28     -164.862778*       0.0113
FIRE:   38 02:43:28     -164.863083*       0.0096
FIRE:   39 02:43:28     -164.863373*       0.0105
FIRE:   40 02:43:28     -164.863632*       0.0102
FIRE:   41 02:43:28     -164.863922*       0.0088
FIRE:   42 02:43:28     -164.864136*       0.0066
FIRE:   43 02:43:28     -164.864319*       0.0043
FIRE:   44 02:43:28     -164.864395*       0.0058
FIRE:   45 02:43:28     -164.864456*       0.0056
FIRE:   46 02:43:28     -164.864502*       0.0052
FIRE:   47 02:43:28     -164.864594*       0.0047
FIRE:   48 02:43:28     -164.864670*       0.0041
FIRE:   49 02:43:28     -164.864731*       0.0034
FIRE:   50 02:43:28     -164.864777*       0.0028
FIRE:   51 02:43:29     -164.864853*       0.0027
FIRE:   52 02:43:29     -164.864899*       0.0027
FIRE:   53 02:43:29     -164.864960*       0.0027
FIRE:   54 02:43:29     -164.865005*       0.0026
FIRE:   55 02:43:29     -164.865067*       0.0024
FIRE:   56 02:43:29     -164.865128*       0.0021
FIRE:   57 02:43:29     -164.865204*       0.0021
FIRE:   58 02:43:29     -164.865234*       0.0021
FIRE:   59 02:43:29     -164.865280*       0.0020
FIRE:   60 02:43:29     -164.865326*       0.0019
FIRE:   61 02:43:29     -164.865417*       0.0017
FIRE:   62 02:43:29     -164.865463*       0.0014
FIRE:   63 02:43:29     -164.865494*       0.0016
FIRE:   64 02:43:29     -164.865524*       0.0011
FIRE:   65 02:43:29     -164.865555*       0.0011
FIRE:   66 02:43:29     -164.865570*       0.0014
FIRE:   67 02:43:29     -164.865616*       0.0020
FIRE:   68 02:43:29     -164.865662*       0.0025
FIRE:   69 02:43:29     -164.865738*       0.0028
FIRE:   70 02:43:29     -164.865829*       0.0051
FIRE:   71 02:43:29     -164.866150*       0.0193
FIRE:   72 02:43:29     -164.869522*       0.1037
FIRE:   73 02:43:29     -164.887451*       0.0711
FIRE:   74 02:43:29     -156.877121*     120.6646
FIRE:   75 02:43:29     -164.903824*       0.1245
FIRE:   76 02:43:29     -164.847427*       0.1872
FIRE:   77 02:43:29     -164.866638*       0.0784
FIRE:   78 02:43:30     -164.867599*       0.0705
FIRE:   79 02:43:30     -164.869141*       0.0563
FIRE:   80 02:43:30     -164.870819*       0.0381
FIRE:   81 02:43:30     -164.872086*       0.0279
FIRE:   82 02:43:30     -164.872833*       0.0273
FIRE:   83 02:43:30     -164.873169*       0.0288
FIRE:   84 02:43:30     -164.873337*       0.0299
FIRE:   85 02:43:30     -164.873749*       0.0362
FIRE:   86 02:43:30     -164.874542*       0.0360
FIRE:   87 02:43:30     -164.875656*       0.0297
FIRE:   88 02:43:30     -164.877014*       0.0268
FIRE:   89 02:43:30     -164.878510*       0.0289
FIRE:   90 02:43:30     -164.880341*       0.0338
FIRE:   91 02:43:30     -164.883224*       0.0417
FIRE:   92 02:43:30     -164.888229*       0.0475
FIRE:   93 02:43:30     -164.894623*       0.0399
FIRE:   94 02:43:30     -164.899826*       0.0259
FIRE:   95 02:43:30     -164.901978*       0.0315
FIRE:   96 02:43:30     -164.902252*       0.0288
FIRE:   97 02:43:30     -164.902679*       0.0240
FIRE:   98 02:43:30     -164.903168*       0.0178
FIRE:   99 02:43:30     -164.903610*       0.0111
FIRE:  100 02:43:30     -164.903992*       0.0125
