      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 17:01:32     -164.733704*       0.2351
FIRE:    1 17:01:32     -164.734924*       0.2363
FIRE:    2 17:01:32     -164.737381*       0.2384
FIRE:    3 17:01:32     -164.741135*       0.2405
FIRE:    4 17:01:32     -164.746124*       0.2415
FIRE:    5 17:01:32     -164.752380*       0.2400
FIRE:    6 17:01:32     -164.759781*       0.2355
FIRE:    7 17:01:32     -164.768158*       0.2278
FIRE:    8 17:01:32     -164.778229*       0.2146
FIRE:    9 17:01:32     -164.789764*       0.1910
FIRE:   10 17:01:32     -164.801834*       0.1535
FIRE:   11 17:01:32     -164.813004*       0.1072
FIRE:   12 17:01:32     -164.821991*       0.0651
FIRE:   13 17:01:32     -164.828506*       0.0540
FIRE:   14 17:01:32     -164.832779*       0.0417
FIRE:   15 17:01:32     -164.835281*       0.0506
FIRE:   16 17:01:32     -164.836823*       0.0581
FIRE:   17 17:01:32     -164.838120*       0.0598
FIRE:   18 17:01:33     -164.839447*       0.0563
FIRE:   19 17:01:33     -164.840714*       0.0487
FIRE:   20 17:01:33     -164.841797*       0.0399
FIRE:   21 17:01:33     -164.842789*       0.0328
FIRE:   22 17:01:33     -164.843796*       0.0282
FIRE:   23 17:01:33     -164.845032*       0.0259
FIRE:   24 17:01:33     -164.846619*       0.0252
FIRE:   25 17:01:33     -164.848434*       0.0256
FIRE:   26 17:01:33     -164.850128*       0.0260
FIRE:   27 17:01:33     -164.851578*       0.0254
FIRE:   28 17:01:33     -164.852905*       0.0218
FIRE:   29 17:01:33     -164.853287*       0.0213
FIRE:   30 17:01:33     -164.853928*       0.0204
FIRE:   31 17:01:33     -164.854767*       0.0189
FIRE:   32 17:01:33     -164.855637*       0.0169
FIRE:   33 17:01:33     -164.856506*       0.0146
FIRE:   34 17:01:33     -164.857285*       0.0132
FIRE:   35 17:01:33     -164.858002*       0.0131
FIRE:   36 17:01:33     -164.858719*       0.0131
FIRE:   37 17:01:33     -164.859467*       0.0127
FIRE:   38 17:01:33     -164.860336*       0.0121
FIRE:   39 17:01:33     -164.861343*       0.0119
FIRE:   40 17:01:33     -164.862473*       0.0112
FIRE:   41 17:01:33     -164.863556*       0.0087
FIRE:   42 17:01:33     -164.864288*       0.0144
FIRE:   43 17:01:33     -164.864853*       0.0127
FIRE:   44 17:01:33     -164.865799*       0.0132
FIRE:   45 17:01:33     -164.866959*       0.0106
FIRE:   46 17:01:34     -164.867569*       0.0119
FIRE:   47 17:01:34     -164.867783*       0.0090
FIRE:   48 17:01:34     -164.868088*       0.0059
FIRE:   49 17:01:34     -164.868347*       0.0070
FIRE:   50 17:01:34     -164.868530*       0.0065
FIRE:   51 17:01:34     -164.868729*       0.0061
FIRE:   52 17:01:34     -164.868851*       0.0056
FIRE:   53 17:01:34     -164.868988*       0.0076
FIRE:   54 17:01:34     -164.869125*       0.0060
FIRE:   55 17:01:34     -164.869217*       0.0061
FIRE:   56 17:01:34     -164.869324*       0.0082
FIRE:   57 17:01:34     -164.869461*       0.0072
FIRE:   58 17:01:34     -164.869629*       0.0065
FIRE:   59 17:01:34     -164.869827*       0.0060
FIRE:   60 17:01:34     -164.870056*       0.0054
FIRE:   61 17:01:34     -164.870285*       0.0048
FIRE:   62 17:01:34     -164.870529*       0.0050
FIRE:   63 17:01:34     -164.870880*       0.0057
FIRE:   64 17:01:34     -164.871231*       0.0042
FIRE:   65 17:01:34     -164.871597*       0.0044
FIRE:   66 17:01:34     -164.871964*       0.0088
FIRE:   67 17:01:34     -164.872391*       0.0050
FIRE:   68 17:01:34     -164.872696*       0.0049
FIRE:   69 17:01:34     -164.872864*       0.0058
FIRE:   70 17:01:34     -164.872910*       0.0052
FIRE:   71 17:01:34     -164.872986*       0.0046
FIRE:   72 17:01:34     -164.873032*       0.0038
FIRE:   73 17:01:34     -164.873108*       0.0032
FIRE:   74 17:01:35     -164.873169*       0.0026
FIRE:   75 17:01:35     -164.873199*       0.0026
FIRE:   76 17:01:35     -164.873260*       0.0028
FIRE:   77 17:01:35     -164.873306*       0.0029
FIRE:   78 17:01:35     -164.873367*       0.0030
FIRE:   79 17:01:35     -164.873428*       0.0033
FIRE:   80 17:01:35     -164.873520*       0.0032
FIRE:   81 17:01:35     -164.873596*       0.0028
FIRE:   82 17:01:35     -164.873718*       0.0026
FIRE:   83 17:01:35     -164.873810*       0.0037
FIRE:   84 17:01:35     -164.873901*       0.0118
FIRE:   85 17:01:35     -164.873825*       0.0369
FIRE:   86 17:01:35     -164.874054*       0.0056
FIRE:   87 17:01:35     -164.874054*       0.0042
FIRE:   88 17:01:35     -164.874054*       0.0027
FIRE:   89 17:01:35     -164.874084*       0.0027
FIRE:   90 17:01:35     -164.874084*       0.0037
FIRE:   91 17:01:35     -164.874084*       0.0046
FIRE:   92 17:01:35     -164.874100*       0.0039
FIRE:   93 17:01:35     -164.874084*       0.0027
FIRE:   94 17:01:35     -164.874115*       0.0026
FIRE:   95 17:01:35     -164.874130*       0.0030
FIRE:   96 17:01:35     -164.874130*       0.0030
FIRE:   97 17:01:35     -164.874146*       0.0026
FIRE:   98 17:01:35     -164.874146*       0.0027
FIRE:   99 17:01:35     -164.874191*       0.0027
FIRE:  100 17:01:35     -164.874191*       0.0028
